Price,Open,Close,target
2023-01-02,51.82902145385742,51.08148956298828,1
2023-01-03,51.0715217590332,49.82563018798828,1
2023-01-04,50.29408645629883,50.413692474365234,0
2023-01-05,50.70273971557617,50.83230972290039,0
2023-01-06,50.82234191894531,51.79912185668945,0
2023-01-09,51.76921844482422,51.73931884765625,1
2023-01-10,51.30076599121094,53.40382766723633,0
2023-01-11,53.20448684692383,54.83909225463867,0
2023-01-12,55.357383728027344,54.350704193115234,1
2023-01-13,53.443695068359375,53.53340148925781,0
2023-01-16,53.144683837890625,53.57326889038086,0
2023-01-17,53.822444915771484,55.40721893310547,0
2023-01-18,56.41389846801758,57.759456634521484,0
2023-01-19,57.02189254760742,56.722877502441406,1
2023-01-20,56.274356842041016,55.01850128173828,1
2023-01-23,54.91883087158203,56.1447868347168,0
2023-01-24,56.3441276550293,58.03853988647461,0
2023-01-25,58.23788070678711,58.99538040161133,0
2023-01-26,59.25452423095703,59.09505081176758,1
2023-01-27,59.085086822509766,58.64653015136719,1
2023-01-30,58.835906982421875,58.30765151977539,1
2023-01-31,58.30765151977539,59.015316009521484,0
2023-02-01,58.8857421875,58.33755111694336,1
2023-02-02,57.908966064453125,59.95222473144531,0
2023-02-03,59.42396545410156,57.739524841308594,1
2023-02-06,58.078407287597656,57.61991882324219,1
2023-02-07,57.61991882324219,57.101627349853516,1
2023-02-08,57.59001541137695,58.357486724853516,0
2023-02-09,58.40732192993164,56.483665466308594,1
2023-02-10,56.533504486083984,56.623207092285156,0
2023-02-13,56.802616119384766,56.41389846801758,1
2023-02-14,56.87238311767578,55.277645111083984,1
2023-02-15,55.36735153198242,56.43383026123047,0
2023-02-16,56.30426025390625,57.89899826049805,0
2023-02-17,57.380706787109375,57.50031280517578,0
2023-02-22,55.96537780761719,55.357383728027344,1
2023-02-23,55.12813949584961,55.1480712890625,0
2023-02-24,55.098236083984375,54.819156646728516,1
2023-02-27,55.01850128173828,54.63975143432617,1
2023-02-28,54.520145416259766,55.30754852294922,0
2023-03-01,55.21784210205078,53.144683837890625,1
2023-03-02,52.985206604003906,52.965274810791016,1
2023-03-03,53.10481262207031,52.77589797973633,1
2023-03-06,53.15464782714844,53.164615631103516,0
2023-03-07,52.82573318481445,53.2343864440918,0
2023-03-08,53.2343864440918,55.81586837768555,0
2023-03-09,55.825836181640625,55.7760009765625,1
2023-03-10,55.21784210205078,54.729454040527344,1
2023-03-13,54.340736389160156,54.56001281738281,0
2023-03-14,54.47031021118164,52.337345123291016,1
2023-03-15,48.80898666381836,52.7260627746582,0
2023-03-16,52.75596237182617,55.60655975341797,0
2023-03-17,54.87895965576172,53.56330108642578,1
2023-03-20,53.53340148925781,52.885536193847656,1
2023-03-21,52.995174407958984,51.8987922668457,1
2023-03-22,51.58980941772461,51.82902145385742,0
2023-03-23,51.8987922668457,49.89540100097656,1
2023-03-24,50.34392166137695,51.12135696411133,0
