Price,Close,High,Low,Open,Volume
Ticker,RENT3.SA,RENT3.SA,RENT3.SA,RENT3.SA,RENT3.SA
Date,,,,,
2023-01-02,51.08148956298828,51.82902145385742,50.36385726928711,51.82902145385742,4893289
2023-01-03,49.82563018798828,51.17119216918945,49.46681594848633,51.0715217590332,7363009
2023-01-04,50.413692474365234,50.991783142089844,49.706024169921875,50.29408645629883,4559391
2023-01-05,50.83230972290039,51.76921844482422,50.3837890625,50.70273971557617,7892651
2023-01-06,51.79912185668945,52.67622756958008,50.603065490722656,50.82234191894531,4244957
2023-01-09,51.73931884765625,52.65629196166992,50.76253890991211,51.76921844482422,4639053
2023-01-10,53.40382766723633,53.922115325927734,51.11138916015625,51.30076599121094,7068842
2023-01-11,54.83909225463867,55.546756744384766,52.895503997802734,53.20448684692383,6636721
2023-01-12,54.350704193115234,55.377315521240234,53.30415725708008,55.357383728027344,5052813
2023-01-13,53.53340148925781,53.67293930053711,52.59648895263672,53.443695068359375,7620857
2023-01-16,53.57326889038086,54.08159255981445,52.94533920288086,53.144683837890625,4216263
2023-01-17,55.40721893310547,55.67633056640625,53.40382766723633,53.822444915771484,10345716
2023-01-18,57.759456634521484,58.19801330566406,56.01521301269531,56.41389846801758,13702755
2023-01-19,56.722877502441406,57.859130859375,55.87567138671875,57.02189254760742,8907789
2023-01-20,55.01850128173828,56.61323928833008,54.91883087158203,56.274356842041016,6987174
2023-01-23,56.1447868347168,57.101627349853516,54.84906005859375,54.91883087158203,6957978
2023-01-24,58.03853988647461,58.14817428588867,56.3441276550293,56.3441276550293,6497664
2023-01-25,58.99538040161133,59.44390106201172,56.81258010864258,58.23788070678711,6073670
2023-01-26,59.09505081176758,59.67314529418945,58.09833908081055,59.25452423095703,4175930
2023-01-27,58.64653015136719,59.20469284057617,58.367454528808594,59.085086822509766,4352511
2023-01-30,58.30765151977539,59.35419845581055,58.0584716796875,58.835906982421875,3999450
2023-01-31,59.015316009521484,59.6532096862793,58.09833908081055,58.30765151977539,7247530
2023-02-01,58.33755111694336,60.07183074951172,57.729557037353516,58.8857421875,6844504
2023-02-02,59.95222473144531,60.68979263305664,57.908966064453125,57.908966064453125,8621447
2023-02-03,57.739524841308594,59.6532096862793,57.37074279785156,59.42396545410156,6526057
2023-02-06,57.61991882324219,58.487056732177734,56.77271270751953,58.078407287597656,5847526
2023-02-07,57.101627349853516,58.01860427856445,56.95212173461914,57.61991882324219,7719782
2023-02-08,58.357486724853516,58.487056732177734,57.02189254760742,57.59001541137695,7264184
2023-02-09,56.483665466308594,58.556827545166016,56.33415985107422,58.40732192993164,5163678
2023-02-10,56.623207092285156,57.12156295776367,55.895606994628906,56.533504486083984,7692292
2023-02-13,56.41389846801758,57.77939224243164,56.15475082397461,56.802616119384766,3442719
2023-02-14,55.277645111083984,56.95212173461914,54.94873046875,56.87238311767578,5728435
2023-02-15,56.43383026123047,57.57008361816406,54.540077209472656,55.36735153198242,7559355
2023-02-16,57.89899826049805,58.2578125,55.15803909301758,56.30426025390625,7771854
2023-02-17,57.50031280517578,57.67972183227539,56.354095458984375,57.380706787109375,4232817
2023-02-22,55.357383728027344,56.20458984375,54.49024200439453,55.96537780761719,4667045
2023-02-23,55.1480712890625,56.533504486083984,54.70951843261719,55.12813949584961,4271845
2023-02-24,54.819156646728516,55.29758071899414,54.171295166015625,55.098236083984375,4307463
2023-02-27,54.63975143432617,55.39725112915039,54.19123077392578,55.01850128173828,3000365
2023-02-28,55.30754852294922,56.04511260986328,54.37063980102539,54.520145416259766,6910521
2023-03-01,53.144683837890625,55.22780990600586,52.42704772949219,55.21784210205078,8945513
2023-03-02,52.965274810791016,54.350704193115234,52.50678634643555,52.985206604003906,9467128
2023-03-03,52.77589797973633,53.64303970336914,52.42704772949219,53.10481262207031,5169397
2023-03-06,53.164615631103516,53.971954345703125,52.138004302978516,53.15464782714844,10895123
2023-03-07,53.2343864440918,54.071624755859375,52.58652114868164,52.82573318481445,5542724
2023-03-08,55.81586837768555,56.33415985107422,53.2343864440918,53.2343864440918,9270481
2023-03-09,55.7760009765625,57.1713981628418,55.546756744384766,55.825836181640625,10950204
2023-03-10,54.729454040527344,55.556724548339844,54.28093338012695,55.21784210205078,6289479
2023-03-13,54.56001281738281,54.84906005859375,53.2343864440918,54.340736389160156,5445906
2023-03-14,52.337345123291016,54.87895965576172,52.267574310302734,54.47031021118164,7920241
2023-03-15,52.7260627746582,53.40382766723633,47.44348907470703,48.80898666381836,22275943
2023-03-16,55.60655975341797,55.98530960083008,52.70612716674805,52.75596237182617,11720738
2023-03-17,53.56330108642578,55.11817169189453,52.716094970703125,54.87895965576172,14047287
2023-03-20,52.885536193847656,54.0616569519043,52.22770690917969,53.53340148925781,5550550
2023-03-21,51.8987922668457,53.58323669433594,51.66954803466797,52.995174407958984,5054017
2023-03-22,51.82902145385742,53.244354248046875,51.22102737426758,51.58980941772461,6257073
2023-03-23,49.89540100097656,52.17787170410156,49.048194885253906,51.8987922668457,8622551
2023-03-24,51.12135696411133,51.430335998535156,49.8156623840332,50.34392166137695,6916140
2023-03-27,51.6994514465332,52.35728073120117,50.692771911621094,51.66954803466797,5976450
2023-03-28,53.274253845214844,53.39385986328125,51.19112777709961,51.59977722167969,6526559
2023-03-29,52.99966812133789,53.618263244628906,51.882205963134766,53.059532165527344,4925056
2023-03-30,54.895362854003906,57.060447692871094,54.147064208984375,54.17699432373047,15618179
2023-03-31,53.27903366088867,55.294456481933594,52.889915466308594,54.825523376464844,10657842
2023-04-03,51.98197937011719,53.17926025390625,51.5828857421875,53.08946228027344,9574188
2023-04-04,53.06950759887695,54.02733612060547,52.18152618408203,52.351139068603516,6679130
2023-04-05,52.69036865234375,53.40873718261719,52.101707458496094,52.879940032958984,5688385
2023-04-06,52.12166213989258,53.199214935302734,51.77245330810547,52.381072998046875,5579639
2023-04-10,51.91213607788086,52.86996078491211,51.602840423583984,52.08175277709961,3886103
2023-04-11,56.67133331298828,56.97065353393555,53.189239501953125,53.189239501953125,16544878
2023-04-12,57.369747161865234,60.04367446899414,56.8010368347168,56.94071960449219,18585501
2023-04-13,57.8187255859375,58.66680145263672,56.75114822387695,58.147979736328125,8665128
2023-04-14,57.299903869628906,58.23777389526367,56.67133331298828,57.26997375488281,5559092
2023-04-17,57.74888610839844,58.23777389526367,57.04049301147461,57.4395866394043,5498856
2023-04-18,56.741172790527344,58.20784378051758,56.252281188964844,58.02825164794922,5037511
2023-04-19,54.72574996948242,56.0128288269043,54.16701889038086,56.0128288269043,9742970
2023-04-20,56.3919677734375,56.491737365722656,54.66588592529297,55.0051155090332,8766558
2023-04-24,56.37200927734375,57.18017578125,55.87314224243164,56.47178649902344,4962942
2023-04-25,56.07269287109375,56.36203384399414,55.51395797729492,55.952964782714844,4490271
2023-04-26,56.47178649902344,56.9207649230957,55.35432052612305,56.07269287109375,4134766
2023-04-27,57.509429931640625,57.5593147277832,56.44185256958008,56.47178649902344,4435748
2023-04-28,57.87858963012695,58.36748123168945,57.030517578125,57.59922409057617,6085084
2023-05-02,55.903076171875,57.63913345336914,55.4141845703125,57.299903869628906,5978142
2023-05-03,56.521671295166016,56.96067428588867,55.384254455566406,55.89310073852539,3414935
2023-05-04,57.469520568847656,58.26770782470703,56.57155990600586,57.56929397583008,4806087
2023-05-05,58.21781921386719,59.11578369140625,57.30988311767578,57.5593147277832,5524815
