Price,Open,Close,target
2025-01-02,32.20000076293945,32.20000076293945,0
2025-01-03,32.060001373291016,32.279998779296875,0
2025-01-06,32.619998931884766,32.29999923706055,1
2025-01-07,32.540000915527344,32.0,1
2025-01-08,31.739999771118164,30.739999771118164,1
2025-01-09,30.75,30.280000686645508,1
2025-01-10,30.15999984741211,28.8700008392334,1
2025-01-13,28.770000457763672,28.760000228881836,1
2025-01-14,28.760000228881836,29.219999313354492,0
2025-01-15,29.760000228881836,30.969999313354492,0
2025-01-16,30.690000534057617,30.239999771118164,1
2025-01-17,30.510000228881836,30.440000534057617,1
2025-01-20,30.0,30.579999923706055,0
2025-01-21,30.56999969482422,30.559999465942383,1
2025-01-22,31.079999923706055,30.530000686645508,1
2025-01-23,30.65999984741211,30.030000686645508,1
2025-01-24,30.079999923706055,30.31999969482422,0
2025-01-27,30.299999237060547,31.709999084472656,0
2025-01-28,31.5,31.3700008392334,1
2025-01-29,31.559999465942383,30.18000030517578,1
2025-01-30,30.399999618530273,31.65999984741211,0
2025-01-31,31.969999313354492,30.8700008392334,1
2025-02-03,30.84000015258789,31.479999542236328,0
2025-02-04,31.290000915527344,31.65999984741211,0
2025-02-05,31.6299991607666,31.59000015258789,1
2025-02-06,31.450000762939453,31.889999389648438,0
2025-02-07,31.889999389648438,29.940000534057617,1
2025-02-10,30.030000686645508,30.229999542236328,0
2025-02-11,30.34000015258789,31.030000686645508,0
2025-02-12,30.56999969482422,30.68000030517578,0
2025-02-13,30.450000762939453,29.739999771118164,1
2025-02-14,30.219999313354492,31.610000610351562,0
2025-02-17,31.829999923706055,32.470001220703125,0
2025-02-18,32.470001220703125,32.0,1
2025-02-19,31.309999465942383,30.450000762939453,1
2025-02-20,30.530000686645508,30.350000381469727,1
2025-02-21,30.420000076293945,29.239999771118164,1
2025-02-24,29.40999984741211,27.8700008392334,1
2025-02-25,28.030000686645508,28.34000015258789,0
2025-02-26,28.540000915527344,27.639999389648438,1
2025-02-27,27.670000076293945,27.600000381469727,1
2025-02-28,28.0,28.100000381469727,0
2025-03-05,28.75,28.100000381469727,1
2025-03-06,28.200000762939453,28.31999969482422,0
2025-03-07,28.0,29.81999969482422,0
2025-03-10,29.59000015258789,29.75,0
2025-03-11,29.75,30.020000457763672,0
2025-03-12,30.09000015258789,30.350000381469727,0
2025-03-13,30.34000015258789,31.260000228881836,0
2025-03-14,31.450000762939453,32.849998474121094,0
2025-03-17,33.0,33.369998931884766,0
2025-03-18,33.33000183105469,32.88999938964844,1
2025-03-19,32.88999938964844,33.599998474121094,0
2025-03-20,33.38999938964844,33.13999938964844,1
2025-03-21,33.220001220703125,33.459999084472656,0
2025-03-24,33.790000915527344,32.540000915527344,1
2025-03-25,32.61000061035156,33.2400016784668,0
2025-03-26,33.41999816894531,34.81999969482422,0
2025-03-27,34.7400016784668,34.75,0
2025-03-28,34.63999938964844,34.47999954223633,1
2025-03-31,34.16999816894531,33.59000015258789,1
2025-04-01,33.900001525878906,35.099998474121094,0
2025-04-02,35.099998474121094,36.45000076293945,0
2025-04-03,36.099998474121094,37.2400016784668,0
2025-04-04,36.29999923706055,36.099998474121094,1
2025-04-07,35.650001525878906,35.810001373291016,0
2025-04-08,36.16999816894531,35.70000076293945,1
2025-04-09,35.560001373291016,36.970001220703125,0
2025-04-10,36.68000030517578,37.400001525878906,0
2025-04-11,37.560001373291016,38.56999969482422,0
2025-04-14,39.29999923706055,39.2599983215332,1
2025-04-15,39.0,39.400001525878906,0
2025-04-16,39.29999923706055,38.75,1
2025-04-17,38.540000915527344,40.25,0
2025-04-22,39.79999923706055,39.150001525878906,1
2025-04-23,39.650001525878906,40.36000061035156,0
2025-04-24,40.599998474121094,41.599998474121094,0
2025-04-25,41.779998779296875,42.810001373291016,0
2025-04-28,42.9900016784668,43.060001373291016,0
2025-04-29,43.209999084472656,43.18000030517578,1
2025-04-30,42.95000076293945,42.959999084472656,0
2025-05-02,42.900001525878906,43.099998474121094,0
2025-05-05,43.150001525878906,43.060001373291016,1
